time(sec),Ewe(V),I(mA),cycle #,Ece(V)
25.61546353562153,-0.4365745782852173,0.015573115888400935,0,-1.302911400794983
25.62551053543939,-0.43561220169067383,0.01552879621158354,0,-1.3046244382858276
25.63555753525725,-0.43461287021636963,0.015495174011448398,0,-1.3039392232894897
25.64560453507511,-0.4335974156856537,0.015459514543181285,0,-1.3032540082931519
25.655651534892968,-0.4326528310775757,0.01541727215226274,0,-1.3032540082931519
25.665698534710828,-0.4315556585788727,0.015389690815936774,0,-1.302568793296814
25.675745534528687,-0.43063220381736755,0.015355542927864008,0,-1.3032540082931519
25.685843534345622,-0.42960017919540405,0.015318912119255401,0,-1.3032540082931519
25.695890534163482,-0.4285454750061035,0.015294206605176441,0,-1.302568793296814
25.70593753398134,-0.42762231826782227,0.01525396146462299,0,-1.302911400794983
25.7159845337992,-0.42652377486228943,0.015214988707157318,0,-1.3015409708023071
25.72603153361706,-0.4255521893501282,0.01516073643870186,0,-1.301883578300476
25.73607853343492,-0.42457130551338196,0.015111577340576332,0,-1.301883578300476
25.74612553325278,-0.4235166311264038,0.01506903936387971,0,-1.3008557558059692
25.75617253307064,-0.4226187765598297,0.015041124242998194,0,-1.302568793296814
25.7662195328885,-0.42150256037712097,0.015019584679976106,0,-1.3011983633041382
25.77626653270636,-0.4205719828605652,0.014992267097113654,0,-1.301883578300476
25.78631353252422,-0.4195842742919922,0.014970465599617455,0,-1.3008557558059692
25.796411532341153,-0.4184716045856476,0.014955438018660061,0,-1.3008557558059692
25.806458532159013,-0.4175669252872467,0.014931494661141187,0,-1.3015409708023071
25.816505531976873,-0.4164937436580658,0.014915703104634304,0,-1.3001705408096313
25.826552531794732,-0.41550368070602417,0.014879788977850694,0,-1.3011983633041382
25.836599531612592,-0.4145389795303345,0.01486603377998108,0,-1.3008557558059692
25.84664653143045,-0.4134242832660675,0.014857119822409004,0,-1.2998279333114624
25.85669353124831,-0.41254499554634094,0.014830374311713967,0,-1.3008557558059692
25.86674053106617,-0.41144469380378723,0.014814701899013016,0,-1.3005131483078003
25.87678753088403,-0.41047602891921997,0.014795526112720836,0,-1.3001705408096313
25.88683453070189,-0.4095073640346527,0.014757439203094691,0,-1.3005131483078003
25.896932530518825,-0.40841618180274963,0.014724158972967416,0,-1.2988001108169556
